Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0402,6,103,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C28, C29, C30, C31, C32, C33, C7, C8, C9",0402,18,102,
"C19, C20, C26",0402,3,104,
"C21, C22, C23, C24, C25, C27",0402,6,101,
J1,DSUB-15-HD_Male_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,L77HDE15SD1CH4RHNVGA,
OUTPUT1,IDC-Header_2x05_P2.54mm_Vertical,1,HIF3FC-10PA-2.54DSA,
"R1, R2, R3, R4, R5, R6",0805,6,241,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R7, R8, R9",0805,12,1001R,
"R19, R20, R21, R22, R23, R24",0805,6,1K,
"RK1, RK2, RK3",0805,3,0R,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_2.5x2.5mm,6,IV黄色测试点,
"U1, U2",SOIC127P600X175-16N,2,DS3486M,
U3,D016_N,1,SN74HC365D,
