Designator,Mid X,Mid Y,Rotation,Layer
C1,76.4,-118.3,0.0,top
C10,89.42,-105.1505,0.0,top
C11,89.42,-98.4505,0.0,top
C12,99.52,-101.6505,180.0,top
C13,79.7,-122.9,0.0,top
C14,89.7,-111.7,180.0,top
C15,79.7,-112.25,0.0,top
C16,86.45,-105.1905,180.0,top
C17,87.07,-97.3005,0.0,top
C18,99.467391,-98.1655,180.0,top
C19,89.65,-118.55,180.0,top
C2,92.85,-119.95,180.0,top
C20,89.42,-101.8505,0.0,top
C21,119.51,-112.95,0.0,top
C22,119.39,-116.45,0.0,top
C23,106.51,-119.65,0.0,top
C24,116.59,-120.05,0.0,top
C25,106.49,-112.85,0.0,top
C26,116.57,-113.05,0.0,top
C27,103.65,-116.6,0.0,top
C28,103.91,-119.65,0.0,top
C29,119.39,-120.05,180.0,top
C3,73.05,-112.2,0.0,top
C30,106.55,-116.55,180.0,top
C31,116.57,-123.55,0.0,top
C32,116.51,-116.55,0.0,top
C33,103.65,-112.85,180.0,top
C4,79.64,-104.1005,180.0,top
C5,83.22,-100.6505,0.0,top
C6,106.7,-99.2005,0.0,top
C7,79.73,-119.44,0.0,top
C8,89.65,-115.05,180.0,top
C9,79.75,-115.8,0.0,top
J1,66.11,-104.34,270.0,top
J2,128.2,-111.82,180.0,top
R1,73.05,-119.25,180.0,top
R10,92.96,-109.45,180.0,top
R11,76.45,-114.65,0.0,top
R12,76.35,-111.15,0.0,top
R13,76.45,-102.5,0.0,top
R14,83.23,-104.1005,0.0,top
R15,76.4,-99.45,0.0,top
R16,83.27,-97.3505,0.0,top
R17,102.99,-102.7505,180.0,top
R18,103.06,-99.3505,180.0,top
R19,100.26,-120.4,0.0,top
R2,92.94,-116.3,0.0,top
R20,111.34,-109.45,0.0,top
R21,100.84,-113.55,0.0,top
R22,99.65,-105.65,0.0,top
R23,103.0,-106.25,0.0,top
R24,106.81,-106.3,0.0,top
R3,73.05,-115.8,180.0,top
R4,79.62,-100.6005,0.0,top
R5,87.02,-100.7005,0.0,top
R6,106.71,-102.8005,180.0,top
R7,73.0,-122.95,0.0,top
R8,76.45,-121.75,0.0,top
R9,92.96,-112.9,180.0,top
RK1,108.19,-109.45,0.0,top
RK2,97.78,-113.55,0.0,top
RK3,97.21,-120.4,0.0,top
U1,84.625,-116.205,0.0,top
U2,94.425,-101.3455,0.0,top
U3,111.495,-116.85,0.0,top
