Designator,Mid X,Mid Y,Rotation,Layer
C1,112.93,-86.07,0.0,top
C10,118.15,-103.1,0.0,top
C11,118.05,-95.1,0.0,top
C12,132.2,-95.75,90.0,top
C13,120.43,-86.07,0.0,top
C14,131.78,-77.22,270.0,top
C15,120.87,-76.57,270.0,top
C16,114.65,-103.1,180.0,top
C17,120.85,-90.3,0.0,top
C18,132.2,-92.25,270.0,top
C19,128.99,-75.54,180.0,top
C2,135.78,-77.22,270.0,top
C20,118.05,-97.1,0.0,top
C21,143.7,-87.55,90.0,top
C22,146.5,-87.55,90.0,top
C23,146.7,-102.05,270.0,top
C24,149.2,-87.55,90.0,top
C25,143.85,-102.15,270.0,top
C26,141.1,-87.65,90.0,top
C27,141.05,-102.15,270.0,top
C28,150.3,-98.55,270.0,top
C29,152.3,-91.05,90.0,top
C3,116.58,-76.62,270.0,top
C30,146.75,-98.55,270.0,top
C31,151.75,-87.5,90.0,top
C32,152.3,-95.15,270.0,top
C33,143.85,-98.7,270.0,top
C4,111.15,-103.1,0.0,top
C5,114.55,-92.3,180.0,top
C6,130.95,-89.5,0.0,top
C7,120.43,-83.37,0.0,top
C8,132.03,-81.37,90.0,top
C9,120.88,-80.62,90.0,top
J1,104.96,-93.96,270.0,top
J2,166.0,-95.1,180.0,top
R1,112.8675,-83.37,180.0,top
R10,133.78,-77.1825,270.0,top
R11,118.68,-80.5825,90.0,top
R12,118.68,-76.5575,270.0,top
R13,118.1,-99.9,0.0,top
R14,122.3125,-103.4,180.0,top
R15,114.6,-95.1,0.0,top
R16,117.9875,-92.3,0.0,top
R17,130.2,-95.6875,90.0,top
R18,130.2,-92.2125,270.0,top
R19,149.75,-84.1,270.0,top
R2,136.03,-81.3075,270.0,top
R20,146.5,-84.1125,270.0,top
R21,143.7,-84.1125,270.0,top
R22,131.0875,-104.5,0.0,top
R23,131.1125,-102.5,0.0,top
R24,131.1125,-100.5,0.0,top
R3,116.68,-80.5575,270.0,top
R4,115.3,-100.4125,90.0,top
R5,111.9,-94.3875,270.0,top
R6,131.0875,-98.5,180.0,top
R7,116.4375,-83.35,0.0,top
R8,116.4675,-86.07,0.0,top
R9,134.03,-81.32,90.0,top
RK1,135.8,-85.4375,270.0,top
RK2,133.8,-85.4375,270.0,top
RK3,131.8,-85.4375,270.0,top
U1,126.255,-81.775,0.0,top
U2,124.325,-96.495,0.0,top
U3,146.1,-93.1,90.0,top
