Designator,Mid X,Mid Y,Rotation,Layer
C2,203.306,-150.876,270.0,top
C25,265.43,-136.398,180.0,top
C26,266.192,-155.702,180.0,top
C30,347.726,-146.812,180.0,top
C31,340.614,-154.432,270.0,top
C34,343.916,-141.224,0.0,top
C35,336.55,-142.748,180.0,top
C37,341.094,-143.002,180.0,top
C39,334.01,-139.22,270.0,top
C4,203.306,-148.336,270.0,top
C40,326.136,-142.494,270.0,top
C7,214.482,-148.364,270.0,top
C8,259.08,-136.652,0.0,top
C9,260.35,-155.702,0.0,top
CAN1,187.716,-120.376,90.0,top
CAN2,218.186,-105.664,90.0,top
D1,196.088,-107.442,0.0,top
D10,253.746,-81.788,0.0,top
D12,315.722,-83.82,0.0,top
D13,309.626,-83.82,0.0,top
D14,303.53,-83.82,0.0,top
D24,336.804,-139.7,0.0,top
D25,328.93,-142.24,0.0,top
D8,258.923,-81.788,0.0,top
D9,248.5875,-81.788,0.0,top
DI1,194.182,-148.824,90.0,top
INC1,199.39,-74.93,0.0,top
INC2,218.567,-74.93,0.0,top
LEM1,315.214,-75.55,90.0,top
LEM4,261.112,-75.55,90.0,top
N2,340.614,-148.844,270.0,top
P1,261.666625,-119.976,270.0,bottom
P10,237.49,-120.65,90.0,top
P11,231.14,-127.0,90.0,top
P12,231.14,-120.65,90.0,top
P13,263.652,-113.0046,0.0,top
P14,264.16,-171.9646,0.0,top
P19,356.3766,-96.3296,0.0,top
P20,356.3766,-139.7896,0.0,top
P21,356.8766,-155.2896,0.0,top
P22,356.8766,-198.7496,0.0,top
P9,237.49,-127.0,90.0,top
POWER1,177.8,-155.194,180.0,bottom
Q2,188.722,-106.68,0.0,top
R1,201.528,-148.844,180.0,top
R13,218.144,-158.242,270.0,top
R15,255.778,-138.176,0.0,top
R16,255.778,-155.448,0.0,top
R19,255.778,-139.3952,0.0,top
R2,201.528,-151.384,180.0,top
R20,255.778,-156.8196,0.0,top
R23,255.778,-140.6144,0.0,top
R24,255.778,-158.1912,0.0,top
R27,255.778,-141.8336,0.0,top
R28,255.778,-159.5628,0.0,top
R30,200.152,-105.918,0.0,top
R32,200.152,-107.188,0.0,top
R34,200.152,-108.458,0.0,top
R41,255.778,-143.0528,0.0,top
R42,255.778,-160.9344,0.0,top
R47,255.778,-144.272,0.0,top
R48,255.778,-162.306,0.0,top
R6,216.154,-158.244,90.0,top
R73,348.488,-99.06,0.0,top
R74,347.98,-141.732,0.0,top
R75,348.488,-157.734,0.0,top
R76,349.25,-198.374,0.0,top
R8,204.576,-150.876,90.0,top
R80,347.726,-148.082,180.0,top
R81,331.216,-146.05,0.0,top
R84,343.916,-142.494,0.0,top
R85,336.548,-143.764,180.0,top
R88,343.156,-139.954,180.0,top
R89,332.232,-142.748,90.0,top
R9,204.576,-148.336,90.0,top
R91,239.776,-158.496,90.0,top
R92,241.3,-158.496,90.0,top
R93,236.728,-158.496,270.0,top
R94,237.744,-158.494,270.0,top
SPI1,193.294,-175.768,0.0,top
SPI2,224.79,-154.686,90.0,top
U2,258.857745,-137.23359,0.0,top
U3,259.619745,-156.53759,0.0,top
U4,209.564,-152.098,0.0,top
UART1,215.138,-167.894,90.0,top
UART2,201.93,-167.894,90.0,top
UART3,228.346,-167.894,90.0,top
UART4,204.724,-105.664,90.0,top
USB1,200.152,-121.158,90.0,top
