Designator,Mid X,Mid Y,Rotation,Layer
C1,102.100455,-24.4818,180.0,bottom
C10,97.6362,-60.2723,270.0,bottom
C11,102.7162,-45.0323,270.0,bottom
C12,38.269534,-62.4373,270.0,bottom
C13,27.225,-88.5,180.0,bottom
C14,26.875,-100.7,180.0,bottom
C15,23.05,-13.4,180.0,bottom
C16,33.25,-13.4,180.0,bottom
C2,102.076547,-73.3958,180.0,bottom
C3,97.493945,-24.4818,180.0,bottom
C4,97.470037,-73.3958,180.0,bottom
C5,97.6362,-52.6523,270.0,bottom
C6,97.6362,-48.8423,270.0,bottom
C7,97.6362,-56.4623,270.0,bottom
C8,97.6362,-45.0323,90.0,bottom
C9,102.7162,-60.2723,90.0,bottom
CAN1,41.7712,-34.3948,180.0,top
CAN2,31.6212,-34.4948,180.0,top
D1,100.1762,-65.0198,90.0,bottom
D2,100.1762,-40.2773,270.0,bottom
D3,57.4112,-9.6748,90.0,bottom
DI1,35.4362,-56.9148,270.0,top
DSP1,91.5072,-26.4943,270.0,bottom
INC1,21.6262,-43.6248,90.0,top
IPM1,83.404715,-32.8788,180.0,top
IPM2,85.94,-74.72,0.0,top
J1,74.8,-10.6498,270.0,top
J2,115.408715,-66.44918,90.0,top
J3,115.444715,-9.2238,90.0,top
J4,55.0,-45.1,180.0,top
J5,34.9,-81.0,0.0,top
J6,58.9,-45.1,180.0,top
J7,34.9,-94.8,0.0,top
LEM1,45.02,-2.6,270.0,top
LEM2,9.64,-109.4,90.0,top
N1,102.7162,-52.6523,180.0,bottom
POWER1,4.1012,-34.4648,0.0,top
Q1,51.792868,-9.6748,180.0,bottom
R1,107.3137,-24.4818,0.0,bottom
R10,106.988792,-81.5238,0.0,bottom
R11,107.3137,-34.6418,0.0,bottom
R12,106.988792,-83.5558,0.0,bottom
R13,92.5562,-56.4623,270.0,bottom
R14,92.5562,-52.6523,90.0,bottom
R15,92.5562,-45.0323,90.0,bottom
R16,92.5562,-48.8623,90.0,bottom
R17,95.0962,-52.6523,270.0,bottom
R18,95.0962,-48.8623,270.0,bottom
R19,95.0962,-56.4623,270.0,bottom
R2,106.988792,-73.39839,0.0,bottom
R20,95.0962,-45.0323,90.0,bottom
R21,100.1762,-60.2723,270.0,bottom
R22,100.1762,-45.0323,270.0,bottom
R23,32.8862,-62.4373,90.0,bottom
R24,35.562866,-62.4373,90.0,bottom
R25,49.0362,-63.2248,180.0,bottom
R26,45.6362,-63.2248,180.0,bottom
R27,68.6487,-63.1998,0.0,bottom
R28,72.0487,-63.1998,180.0,bottom
R29,51.8197,-13.4848,0.0,bottom
R3,107.3137,-26.5138,0.0,bottom
R30,48.5212,-9.6748,90.0,bottom
R31,55.064534,-9.6748,90.0,bottom
R32,68.6487,-72.8248,180.0,bottom
R33,72.0487,-72.8248,0.0,bottom
R34,23.7,-82.7,0.0,bottom
R35,31.4,-85.425,90.0,bottom
R36,31.4,-82.325,90.0,bottom
R37,26.79,-84.6,0.0,bottom
R38,26.69,-87.1,0.0,bottom
R39,15.9,-85.6,180.0,bottom
R4,106.988792,-75.4278,0.0,bottom
R40,15.925,-88.4,180.0,bottom
R41,23.4,-94.8,0.0,bottom
R42,31.2,-100.0,90.0,bottom
R43,31.3,-96.375,90.0,bottom
R44,26.79,-96.3,0.0,bottom
R45,26.89,-98.5,0.0,bottom
R46,15.525,-97.8,180.0,bottom
R47,15.5,-99.7,180.0,bottom
R48,27.0125,-13.4,0.0,bottom
R49,36.9125,-13.4,0.0,bottom
R5,107.3137,-28.5458,0.0,bottom
R6,106.988792,-77.4598,0.0,bottom
R7,107.3137,-30.5778,0.0,bottom
R8,106.988792,-79.4918,0.0,bottom
R9,107.3137,-32.6098,0.0,bottom
RU3,10.4737,-31.3498,180.0,top
SCI_RS485_1,21.4,-86.375,180.0,bottom
SCI_RS485_2,21.1,-98.6,180.0,bottom
SPI1,9.5612,-66.1598,180.0,bottom
SPI2,71.8362,-51.0048,0.0,top
U1,103.575455,-25.82539,0.0,bottom
U2,103.551547,-75.24739,0.0,bottom
U4,25.0,-9.5,180.0,bottom
U5,35.2,-9.5,180.0,bottom
UART3,64.4262,-50.9998,0.0,top
UART4,17.9212,-34.4798,180.0,top
