Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C9",0805,5,104,
"C10, C11, C12",0805,3,103,
"C5, C6, C7, C8",0805,4,102,
"CAN1, CAN2, SPI2, UART1, UART2, UART3, UART4",PinSocket_2x04_P2.54mm_Vertical,7,Conn_02x04_Counter_Clockwise,
"D1, D2",SOT-23,2,BAR43S,
D3,0805,1,LEDRED,
DI1,PinSocket_2x02_P2.54mm_Vertical,1,Conn_02x02_Counter_Clockwise,
DSP1,DSP_240_SMD,1,~,
"INC1, SPI1",IDC-Header_2x10_P2.54mm_Vertical,2,HIF3FC-20PA-2.54DSA,
"IPM1, IPM2",PinSocket_2x08_P2.54mm_Vertical,2,Conn_02x08_Top_Bottom,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J2, J3",PinSocket_2x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"LEM1, LEM2, POWER1",PinSocket_2x15_P2.54mm_Vertical,3,HIF3FC-30PA-2.54DSA,
N1,SOIC14_M,1,MCP6024,
Q1,SOT-23,1,FMMT618TA,
"R1, R10, R11, R12, R2, R3, R4, R5, R6, R7, R8, R9",0805,12,4.7k,
"R13, R14, R15, R16, RU3",0805,5,0R,
"R17, R18, R19, R20, R27, R28, R29, R32, R33",0805,9,10K,
"R21, R22, R24",0805,3,1k,
R23,0805,1,100R,
R25,0805,1,1.69K/1%,
R26,0805,1,3.3K/1%,
R30,0805,1,2K,
R31,0805,1,301R,
"TP1, TP10, TP11, TP12, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, VDC_BUS1, VDC_BUS2",TestPoint_Pad_2.0x2.0mm,14,TP-黄色测试点,
"U1, U2",TSSOP-20,2,SN74ABT541,
