Designator,Mid X,Mid Y,Rotation,Layer
C1,296.300455,-93.0818,180.0,bottom
C10,291.8362,-128.8723,270.0,bottom
C11,296.9162,-113.6323,270.0,bottom
C12,232.469534,-131.0373,270.0,bottom
C2,296.276547,-141.9958,180.0,bottom
C3,291.693945,-93.0818,180.0,bottom
C4,291.670037,-141.9958,180.0,bottom
C5,291.8362,-121.2523,270.0,bottom
C6,291.8362,-117.4423,270.0,bottom
C7,291.8362,-125.0623,270.0,bottom
C8,291.8362,-113.6323,90.0,bottom
C9,296.9162,-128.8723,90.0,bottom
CAN1,235.9712,-102.9948,180.0,top
CAN2,225.8212,-103.0948,180.0,top
D1,294.3762,-133.6198,90.0,bottom
D2,294.3762,-108.8773,270.0,bottom
D3,251.6112,-78.2748,90.0,bottom
DI1,229.6362,-125.5148,270.0,top
DSP1,285.7552,-95.1328,270.0,bottom
INC1,215.8262,-112.2248,90.0,top
IPM1,277.604715,-101.4788,180.0,top
IPM2,280.144715,-135.04598,0.0,top
J1,269.9212,-79.2498,270.0,top
J2,309.608715,-126.63098,90.0,top
J3,309.644715,-77.8238,90.0,top
LEM1,200.6812,-146.9248,90.0,top
LEM2,233.8262,-80.6648,270.0,top
N1,296.9162,-121.2523,180.0,bottom
POWER1,198.3012,-103.0648,0.0,top
Q1,245.992868,-78.2748,180.0,bottom
R1,301.5137,-93.0818,0.0,bottom
R10,301.188792,-150.1238,0.0,bottom
R11,301.5137,-103.2418,0.0,bottom
R12,301.188792,-152.1558,0.0,bottom
R13,286.7562,-125.0623,270.0,bottom
R14,286.7562,-121.2523,90.0,bottom
R15,286.7562,-113.6323,90.0,bottom
R16,286.7562,-117.4623,90.0,bottom
R17,289.2962,-121.2523,270.0,bottom
R18,289.2962,-117.4623,270.0,bottom
R19,289.2962,-125.0623,270.0,bottom
R2,301.188792,-141.99839,0.0,bottom
R20,289.2962,-113.6323,90.0,bottom
R21,294.3762,-128.8723,270.0,bottom
R22,294.3762,-113.6323,270.0,bottom
R23,227.0862,-131.0373,90.0,bottom
R24,229.762866,-131.0373,90.0,bottom
R25,243.2362,-131.8248,180.0,bottom
R26,239.8362,-131.8248,180.0,bottom
R27,262.8487,-131.7998,0.0,bottom
R28,266.2487,-131.7998,180.0,bottom
R29,246.0197,-82.0848,0.0,bottom
R3,301.5137,-95.1138,0.0,bottom
R30,242.7212,-78.2748,90.0,bottom
R31,249.264534,-78.2748,90.0,bottom
R32,262.8487,-141.4248,180.0,bottom
R33,266.2487,-141.4248,0.0,bottom
R4,301.188792,-144.0278,0.0,bottom
R5,301.5137,-97.1458,0.0,bottom
R6,301.188792,-146.0598,0.0,bottom
R7,301.5137,-99.1778,0.0,bottom
R8,301.188792,-148.0918,0.0,bottom
R9,301.5137,-101.2098,0.0,bottom
RU3,204.6737,-99.9498,180.0,top
SPI1,203.7612,-134.7598,180.0,bottom
SPI2,266.0362,-119.6048,0.0,top
U1,297.775455,-94.42539,0.0,bottom
U2,297.751547,-143.84739,0.0,bottom
UART1,251.9762,-119.5998,0.0,top
UART2,245.5262,-119.6498,0.0,top
UART3,258.6262,-119.5998,0.0,top
UART4,212.1212,-103.0798,180.0,top
