Designator,Mid X,Mid Y,Rotation,Layer
C10,72.925,-32.556369,270.0,top
C11,78.225,-32.531369,270.0,top
C12,72.905,-37.881369,270.0,top
C13,70.855,-37.881369,270.0,top
C14,78.075,-37.901369,270.0,top
C15,56.15,-56.031369,270.0,top
C16,59.190492,-56.031369,270.0,top
C17,62.230984,-56.031369,270.0,top
C18,65.271476,-56.031369,270.0,top
C19,68.311968,-56.031369,270.0,top
C20,71.35246,-56.031369,270.0,top
C21,74.675,-64.471369,90.0,top
C5,72.92,-27.006369,270.0,top
C6,70.875,-27.006369,270.0,top
C7,78.625,-27.031369,270.0,top
C9,70.875,-32.556369,270.0,top
D1,67.025,-67.731369,180.0,top
J10,61.865,-69.031369,270.0,top
J11,42.325,-58.031369,0.0,top
J12,82.785,-44.031369,180.0,top
J13,52.325,-25.031369,90.0,top
J2,54.041,-64.338369,90.0,top
J8,42.325,-35.031369,0.0,top
J9,42.325,-46.831369,0.0,top
Q1,70.975,-69.131369,180.0,top
Q2,62.575,-43.659869,180.0,bottom
R13,57.670246,-56.031369,270.0,top
R14,60.710738,-56.031369,270.0,top
R15,63.75123,-56.031369,270.0,top
R16,66.791722,-56.031369,270.0,top
R17,69.832214,-56.031369,270.0,top
R18,72.87271,-56.031369,270.0,top
R19,53.25,-58.618869,270.0,top
R20,53.25,-50.843869,90.0,top
R21,76.725,-64.871369,270.0,top
R22,72.825,-59.531369,90.0,top
R3,67.025,-69.881369,180.0,top
R6,78.825,-59.531369,90.0,top
R7,78.825,-63.031369,270.0,top
Z1,64.85,-31.2,0.0,top
Z2,64.7,-36.2,0.0,top
Z3,64.85,-40.85,0.0,top
