Designator,Footprint,Quantity,Value,LCSC Part #
A1,VRB_S-6WR3,1,VRB1215S-6WR3,
"C1, C2, C3",0603,3,100nf,
"C22, C24",0805,2,100nF,
C23,CP_Elec_6.3x7.7,1,100uf 50V,
C25,CP_Elec_5x5.4,1,22uf 25V,
C34,0603,1,10nF,
C35,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,1,15uF 50V Tantalum,
C36,CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder,1,68uF 16V Tantalum,
C4,CP_Radial_D35.0mm_P10.00mm_SnapIn,1,390uF/450V,
"D2, D4",D_SMA,2,1N5819,
"IC1, IC2, IC3",SOIC-8_7.5x5.85mm_P1.27mm,3,"TLP2270_D4-LF4,E",
J1,PinSocket_2x08_P2.54mm_Vertical,1,Conn_02x06_Top_Bottom,
"J14, J15, J17, J6, J7",M3_smt,5,Header 2,
J3,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"J4, J5",PinSocket_2x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
L2,L_6.3x6.3_H3,1,47uH,
"R1, R2, R4, R5, R8, R9",0603,6,750R,
"R10, R11",0805,2,2M,
TP7,TestPoint_Pad_D1.0mm,1,Test15V,
TP8,TestPoint_Pad_D1.0mm,1,Test5V,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LM2675M-5.0,
