Designator,Mid X,Mid Y,Rotation,Layer
A1,109.65,-91.85,180.0,top
C1,92.515,-63.55,270.0,top
C2,92.515,-71.17,270.0,top
C22,105.65,-90.8,90.0,top
C23,120.65,-89.55,270.0,top
C24,105.65,-77.85,270.0,top
C25,101.65,-77.85,90.0,top
C3,92.515,-78.79,270.0,top
C34,81.109,-55.625,90.0,top
C35,91.65,-49.225,270.0,top
C36,91.65,-56.85,90.0,top
C4,145.87,-65.15,270.0,top
D2,84.65,-48.85,0.0,top
D4,102.65,-90.85,270.0,top
IC1,84.65,-66.23,0.0,top
IC2,84.65,-73.85,0.0,top
IC3,84.65,-81.47,0.0,top
J1,66.36,-60.975,0.0,bottom
J14,108.65,-49.65,0.0,top
J15,108.65,-58.85,0.0,top
J17,68.65,-49.85,0.0,top
J3,79.366,-88.157,90.0,top
J4,110.65,-65.31,0.0,top
J5,98.4,-52.56,90.0,top
J6,158.65,-49.85,0.0,top
J7,158.65,-89.85,0.0,top
L2,76.65,-54.85,270.0,top
R1,75.688,-65.341,180.0,top
R10,101.0625,-48.35,180.0,top
R11,101.0625,-58.85,180.0,top
R2,75.688,-67.119,180.0,top
R4,75.688,-72.961,180.0,top
R5,75.688,-74.739,180.0,top
R8,75.688,-80.581,180.0,top
R9,75.688,-82.359,180.0,top
U2,85.173,-55.85,90.0,top
