Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12, C13, C5, C6, C9",0805,6,2.2uf,
"C11, C14, C7",0805,3,100nf,
"C15, C16, C17, C18, C19, C20",0603,6,100pf,
C21,0603,1,1nf,
D1,0805,1,LEDRED,
"H1, H2, H3",MountingHole_3.2mm_M3_Pad_Via,3,MountingHole_Pad,
J10,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"J11, J8, J9",M3_smt,3,Header 2,
J12,PinSocket_2x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J13,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
Q1,SOT-23-3,1,FMMT618TA,
Q2,FNC42060F,1,FNC42060F,
"R13, R14, R15, R16, R17, R18",0603,6,100R,
"R19, R20",2512,2,8mR,
R21,1206,1,2k,
R22,0603,1,1K,
R3,0805,1,301R,
R6,0603,1,10K,
R7,0603,1,2K,
"Z1, Z2, Z3",MELF_DO-213AB,3,ZM4746A-GS08,
