Designator,Mid X,Mid Y,Rotation,Layer
C10,97.265,-44.776369,270.0,top
C11,102.565,-44.751369,270.0,top
C12,97.245,-50.101369,270.0,top
C13,95.195,-50.101369,270.0,top
C14,102.415,-50.121369,270.0,top
C15,80.49,-68.251369,270.0,top
C16,83.530492,-68.251369,270.0,top
C17,86.570984,-68.251369,270.0,top
C18,89.611476,-68.251369,270.0,top
C19,92.651968,-68.251369,270.0,top
C20,95.69246,-68.251369,270.0,top
C21,99.015,-76.691369,90.0,top
C5,97.26,-39.226369,270.0,top
C6,95.215,-39.226369,270.0,top
C7,102.965,-39.251369,270.0,top
C9,95.215,-44.776369,270.0,top
D1,91.365,-79.951369,180.0,top
J10,86.205,-81.251369,270.0,top
J11,66.665,-70.251369,0.0,top
J12,107.125,-56.251369,180.0,top
J13,76.665,-37.251369,90.0,top
J2,78.381,-76.558369,90.0,top
J8,66.665,-47.251369,0.0,top
J9,66.665,-59.051369,0.0,top
Q1,95.315,-81.351369,180.0,top
Q2,86.915,-55.879869,180.0,bottom
R13,82.010246,-68.251369,270.0,top
R14,85.050738,-68.251369,270.0,top
R15,88.09123,-68.251369,270.0,top
R16,91.131722,-68.251369,270.0,top
R17,94.172214,-68.251369,270.0,top
R18,97.21271,-68.251369,270.0,top
R19,77.49,-70.6825,90.0,bottom
R20,72.6275,-76.77,0.0,bottom
R21,101.065,-77.091369,270.0,top
R22,97.165,-71.751369,90.0,top
R3,91.365,-82.101369,180.0,top
R6,103.165,-71.751369,90.0,top
R7,103.165,-75.251369,270.0,top
Z1,89.19,-43.42,0.0,top
Z2,89.04,-48.42,0.0,top
Z3,89.19,-53.07,0.0,top
