Designator,Footprint,Quantity,Value,LCSC Part #
+12,TestPoint_Pad_D1.0mm,1,+12,
+5v,TestPoint_Pad_D1.0mm,1,Test5V,
-12,TestPoint_Pad_D1.0mm,1,-12,
15V,TestPoint_Pad_D1.0mm,1,Test15V,
1A,TestPoint_Pad_D1.0mm,1,OPWM1A,
1B,TestPoint_Pad_D1.0mm,1,OPWM1B,
2A,TestPoint_Pad_D1.0mm,1,OPWM2A,
2B,TestPoint_Pad_D1.0mm,1,OPWM2B,
3A,TestPoint_Pad_D1.0mm,1,OPWM3A,
3B,TestPoint_Pad_D1.0mm,1,OPWM3B,
"A1, A2, A3",XDCR_LA55-P,3,LA55-P,
A6,VRB_S-6WR3,1,VRB1215S-6WR3,
AGND,TestPoint_Pad_D1.0mm,1,AGND,
"C1, C2, C3, C7, C8, C9",0603,6,47nf,
"C19, C59, C60, C61, C62",CP_Radial_D16.0mm_P7.50mm,5,47uF/450V,
C20,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,1,15uF 50V Tantalum,
C23,0603,1,10nF,
C24,0603,1,1nf,
C25,CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder,1,68uF 16V Tantalum,
"C27, C38, C39",0603,3,100nf,
"C4, C5, C6",0603,3,4.7uF,
"C40, C41, C42, C45, C46, C47",0603,6,2.2uf,
"C43, C44, C49, C54, C55, C57",0603,6,100pf,
"C48, C50, C51, C52, C56",0805,5,100nF,
C53,CP_Elec_6.3x7.7,1,100uf 50V,
C58,CP_Elec_5x5.4,1,22uf 25V,
"D1, D2",D_SMA,2,1N5819,
D3,0805,1,LEDRED,
"IC1, IC2, IC3",SOIC-8_7.5x5.85mm_P1.27mm,3,"TLP2270_D4-LF4,E",
J1,M3_smt,1,Phase 1,
J2,IDC-Header_2x10_P2.54mm_Vertical_SMD,1,DSP,
J3,M3_smt,1,Phase 2,
J4,M3_smt,1,Phase 3,
J5,PinSocket_1x02_P2.54mm_Vertical,1,Fan,
J6,M3_smt,1,DC_BUS,
J7,M3_smt,1,GND,
J9,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L1,L_6.3x6.3_H3,1,47uH,
Q1,FNC42060F,1,FNC42060F,
Q2,SOT-23-3,1,FMMT618TA,
"R11, R12",0805,2,2M,
"R13, R14, R16, R21, R22, R23",0603,6,750R,
"R24, R25",2512,2,8mR,
R26,1206,1,2k,
"R27, R28, R29, R30, R31, R32",0603,6,100R,
"R33, R34",0603,2,10K,
R35,0603,1,2K,
R36,0603,1,301R,
"RB1, RB2, RB3, RB4, RB5, RB6",0805,6,0R,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LM2675M-5.0,
"Z1, Z2, Z3",MELF_DO-213AB,3,ZM4746A-GS08,
