Designator,Mid X,Mid Y,Rotation,Layer
A1,166.61,-133.915,180.0,top
A2,162.635,-56.7825,0.0,top
A3,146.9675,-93.185,90.0,top
A6,198.9,-124.9,90.0,bottom
C1,153.81,-137.59,270.0,bottom
C19,222.06,-54.200001,90.0,top
C2,176.05,-53.305,90.0,bottom
C20,209.725,-126.075,90.0,bottom
C23,217.275,-124.8,0.0,bottom
C24,201.32,-115.585,90.0,bottom
C25,217.275,-133.15,0.0,bottom
C27,211.3,-97.225,270.0,top
C3,143.34,-101.79,0.0,bottom
C38,211.325,-104.025,270.0,top
C39,211.5,-110.625,270.0,top
C4,180.61,-137.19,270.0,bottom
C40,204.16,-79.305,270.0,bottom
C41,204.17,-84.655,270.0,bottom
C42,204.13,-90.035,270.0,bottom
C43,207.1,-108.425,90.0,bottom
C44,207.03,-111.695,270.0,bottom
C45,205.71,-79.295,270.0,bottom
C46,205.71,-84.65,270.0,bottom
C47,205.68,-90.035,270.0,bottom
C48,197.73,-117.16,0.0,bottom
C49,207.04,-114.815,90.0,bottom
C5,143.69,-107.19,180.0,bottom
C50,198.53,-79.02,270.0,bottom
C51,198.72,-84.77,270.0,bottom
C52,198.76,-89.94,270.0,bottom
C53,198.27,-135.52,180.0,bottom
C54,206.96,-98.295,270.0,bottom
C55,206.96,-101.345,90.0,bottom
C56,189.86,-120.1,90.0,bottom
C57,207.11,-105.35,270.0,bottom
C58,184.8,-119.07,0.0,bottom
C59,194.76,-58.76,180.0,top
C6,148.75,-53.505,270.0,bottom
C60,205.41,-54.21,90.0,top
C61,205.41,-63.367246,270.0,top
C62,222.08,-63.397246,270.0,top
C7,143.665,-79.49,0.0,bottom
C8,175.21,-137.39,270.0,bottom
C9,153.925,-53.43,90.0,bottom
D1,209.5,-119.9,0.0,bottom
D2,197.6,-120.09,180.0,bottom
D3,236.475,-89.7875,90.0,top
IC1,214.885,-99.895,0.0,bottom
IC2,214.885,-106.695,0.0,bottom
IC3,214.885,-113.36,0.0,bottom
J1,165.525,-87.601,0.0,top
J2,231.63,-109.61,0.0,bottom
J3,165.525,-98.151,0.0,top
J4,165.525,-108.701,0.0,top
J5,210.04,-133.0,270.0,top
J6,235.09,-58.83,0.0,top
J7,235.09,-75.95,0.0,top
J9,177.72,-73.375,90.0,top
L1,217.1,-120.55,180.0,bottom
Q1,187.825,-95.8845,180.0,bottom
Q2,232.8875,-89.775,0.0,top
R11,228.975,-83.425,270.0,bottom
R12,231.725,-83.4,270.0,bottom
R13,222.965,-99.15,180.0,bottom
R14,222.965,-100.67,180.0,bottom
R16,222.965,-105.77,180.0,bottom
R21,222.96,-107.31,180.0,bottom
R22,223.025,-112.62,180.0,bottom
R23,223.025,-114.15,180.0,bottom
R24,180.18,-112.55,180.0,bottom
R25,180.05,-108.27,180.0,bottom
R26,196.43,-112.71,0.0,bottom
R27,203.955,-105.18,180.0,bottom
R28,203.955,-107.02,180.0,bottom
R29,203.965,-108.77,180.0,bottom
R30,203.745,-94.56,180.0,bottom
R31,203.725,-96.29,180.0,bottom
R32,203.765,-98.1,180.0,bottom
R33,229.05,-91.175,90.0,top
R34,227.25,-89.375,270.0,top
R35,228.975,-87.825,90.0,top
R36,235.65,-87.1,0.0,top
RB1,151.91,-137.6275,270.0,bottom
RB2,178.075,-53.2425,90.0,bottom
RB3,143.7525,-77.49,180.0,bottom
RB4,177.11,-137.6275,270.0,bottom
RB5,151.925,-53.2925,90.0,bottom
RB6,143.3525,-103.69,0.0,bottom
U2,217.4,-128.4,0.0,bottom
Z1,195.36,-78.975,270.0,bottom
Z2,191.25,-84.395,270.0,bottom
Z3,195.43,-89.705,270.0,bottom
