Designator,Mid X,Mid Y,Rotation,Layer
A1,164.47,-68.38,0.0,top
A2,165.92,-68.8,0.0,bottom
A3,127.32,-68.225,0.0,top
A4,128.52,-68.8,0.0,bottom
A5,91.29,-68.775,0.0,bottom
A6,89.32,-68.25,0.0,top
C1,169.92,-64.55,270.0,top
C10,130.72,-64.45,270.0,top
C11,132.81,-64.45,270.0,top
C12,126.97,-71.475,0.0,top
C13,121.72,-64.45,90.0,top
C14,114.62,-65.05,270.0,top
C15,139.92,-71.35,270.0,top
C16,122.97,-68.9,0.0,top
C17,145.62,-69.05,270.0,top
C18,122.97,-71.5,0.0,top
C19,77.32,-71.15,90.0,top
C2,167.92,-64.55,270.0,top
C20,94.92,-64.45,270.0,top
C21,92.82,-64.45,270.0,top
C22,102.72,-71.95,270.0,top
C23,88.97,-71.4,0.0,top
C24,105.22,-71.95,270.0,top
C25,83.62,-64.7375,90.0,top
C26,84.97,-69.0,0.0,top
C27,84.97,-71.4,0.0,top
C28,107.2525,-75.325,180.0,top
C29,110.695,-67.0325,90.0,top
C3,164.0935,-71.435,0.0,top
C30,117.77,-73.6,180.0,top
C31,117.77,-70.7,180.0,top
C4,158.82,-64.5,90.0,top
C5,149.62,-69.05,90.0,top
C6,160.07,-69.1,0.0,top
C7,175.62,-71.05,270.0,top
C8,182.52,-65.1,90.0,top
C9,160.12,-71.4,0.0,top
J1,78.1,-56.49,0.0,top
R10,123.0075,-73.5,0.0,top
R11,123.72,-64.4125,270.0,top
R13,132.72,-68.2875,270.0,top
R14,130.72,-68.2875,270.0,top
R17,89.0075,-73.4,180.0,top
R18,85.0075,-73.4,0.0,top
R19,85.72,-64.7875,270.0,top
R2,164.1325,-73.5,180.0,top
R20,94.82,-68.3125,270.0,top
R21,92.82,-68.2875,270.0,top
R3,160.1325,-73.4,0.0,top
R4,160.82,-64.4875,270.0,top
R5,169.92,-68.3875,270.0,top
R7,167.92,-68.4125,270.0,top
R9,127.0075,-73.5,180.0,top
RB1,169.92,-72.6875,270.0,top
RB2,177.62,-71.0875,270.0,top
RB3,149.62,-65.0875,270.0,top
RB4,132.729,-72.9875,270.0,top
RB5,137.32,-71.3875,270.0,top
RB6,116.72,-65.0875,270.0,top
RB7,100.32,-71.9875,270.0,top
RB8,77.32,-65.1875,270.0,top
RB9,94.82,-72.7875,270.0,top
RM1,177.1166,-65.1236,180.0,top
RM2,139.8166,-65.1,180.0,top
RM3,102.12,-64.9,180.0,top
U1,111.2,-75.97,90.0,top
