Designator,Mid X,Mid Y,Rotation,Layer
A1,195.55,-100.58,0.0,top
A2,197.0,-101.0,0.0,bottom
A3,158.4,-100.425,0.0,top
A4,159.6,-101.0,0.0,bottom
A5,122.37,-100.975,0.0,bottom
A6,120.4,-100.45,0.0,top
C1,201.0,-96.75,270.0,top
C10,161.8,-96.65,270.0,top
C11,163.89,-96.65,270.0,top
C12,158.05,-103.675,0.0,top
C13,152.8,-96.65,90.0,top
C14,145.7,-97.25,270.0,top
C15,171.0,-103.55,270.0,top
C16,154.05,-101.1,0.0,top
C17,176.7,-101.25,270.0,top
C18,154.05,-103.7,0.0,top
C19,108.4,-103.35,90.0,top
C2,199.0,-96.75,270.0,top
C20,126.0,-96.65,270.0,top
C21,123.9,-96.65,270.0,top
C22,133.8,-104.15,270.0,top
C23,120.05,-103.6,0.0,top
C24,136.3,-104.15,270.0,top
C25,114.7,-96.9375,90.0,top
C26,116.05,-101.2,0.0,top
C27,116.05,-103.6,0.0,top
C28,138.3325,-107.525,180.0,top
C29,141.775,-99.2325,90.0,top
C3,195.1735,-103.635,0.0,top
C30,148.85,-105.8,180.0,top
C31,148.85,-102.9,180.0,top
C4,189.9,-96.7,90.0,top
C5,180.7,-101.25,90.0,top
C6,191.15,-101.3,0.0,top
C7,206.7,-103.25,270.0,top
C8,213.6,-97.3,90.0,top
C9,191.2,-103.6,0.0,top
J1,109.2,-115.7,0.0,top
R10,154.0875,-105.7,0.0,top
R11,154.8,-96.6125,270.0,top
R13,163.8,-100.4875,270.0,top
R14,161.8,-100.4875,270.0,top
R17,120.0875,-105.6,180.0,top
R18,116.0875,-105.6,0.0,top
R19,116.8,-96.9875,270.0,top
R2,195.2125,-105.7,180.0,top
R20,125.9,-100.5125,270.0,top
R21,123.9,-100.4875,270.0,top
R3,191.2125,-105.6,0.0,top
R4,191.9,-96.6875,270.0,top
R5,201.0,-100.5875,270.0,top
R7,199.0,-100.6125,270.0,top
R9,158.0875,-105.7,180.0,top
RB1,201.0,-104.8875,270.0,top
RB2,208.7,-103.2875,270.0,top
RB3,180.7,-97.2875,270.0,top
RB4,163.809,-105.1875,270.0,top
RB5,168.4,-103.5875,270.0,top
RB6,147.8,-97.2875,270.0,top
RB7,131.4,-104.1875,270.0,top
RB8,108.4,-97.3875,270.0,top
RB9,125.9,-104.9875,270.0,top
RM1,208.1966,-97.3236,180.0,top
RM2,170.8966,-97.3,180.0,top
RM3,133.2,-97.1,180.0,top
U1,142.29,-108.4,90.0,top
