Designator,Mid X,Mid Y,Rotation,Layer
A1,167.8,-122.95,0.0,top
A2,165.53,-123.325,180.0,bottom
A3,129.4,-122.85,0.0,top
A4,127.78,-123.325,180.0,bottom
A5,90.09,-123.325,180.0,bottom
A6,90.2,-122.05,0.0,top
C1,173.3,-118.85,270.0,top
C10,132.9,-118.75,270.0,top
C11,134.9,-118.75,270.0,top
C12,129.0,-128.0,0.0,top
C13,123.8,-119.55,90.0,top
C14,144.1,-125.85,90.0,top
C15,118.8,-120.45,90.0,top
C16,125.15,-123.4,0.0,top
C17,110.75,-124.1,180.0,top
C18,125.15,-126.0,0.0,top
C19,101.7,-122.15,270.0,top
C2,171.3,-118.85,270.0,top
C20,93.6,-118.05,270.0,top
C21,95.7,-118.05,270.0,top
C22,81.2,-119.85,90.0,top
C23,89.81,-127.0,0.0,top
C24,76.1,-119.95,90.0,top
C25,84.6,-118.55,90.0,top
C26,85.95,-122.7,0.0,top
C27,85.95,-125.0,0.0,top
C28,107.0,-115.8,270.0,top
C29,107.1,-124.6,270.0,top
C3,167.45,-126.1,0.0,top
C30,104.5,-117.25,90.0,top
C31,107.1,-121.35,270.0,top
C4,162.2,-120.05,90.0,top
C5,181.9,-125.95,90.0,top
C6,163.55,-123.6,0.0,top
C7,154.6,-119.85,90.0,top
C8,151.55,-119.85,90.0,top
C9,163.55,-126.1,0.0,top
J1,112.4,-109.1,180.0,top
R10,125.1875,-128.1,0.0,top
R11,125.9,-119.5875,270.0,top
R13,134.9,-122.8875,270.0,top
R14,132.9,-122.8875,270.0,top
R17,89.8,-125.0,180.0,top
R18,85.9875,-127.0,0.0,top
R19,86.7,-118.5875,270.0,top
R2,167.4125,-128.1,180.0,top
R20,95.6,-122.0875,270.0,top
R21,93.6,-122.0875,270.0,top
R3,163.5875,-128.1,0.0,top
R4,164.3,-120.0875,270.0,top
R5,173.3,-122.9125,270.0,top
R7,171.3,-122.9125,270.0,top
R9,128.9875,-126.0,180.0,top
RB1,173.3,-127.0875,270.0,top
RB2,156.65,-119.8875,90.0,top
RB3,181.9,-122.2875,270.0,top
RB4,134.9,-126.7375,90.0,top
RB5,116.7,-120.4875,90.0,top
RB6,144.1,-122.2875,270.0,top
RB7,79.0,-119.9125,90.0,top
RB8,101.7,-125.9125,90.0,top
RB9,95.59,-125.6825,90.0,top
RM1,154.8034,-127.7764,0.0,top
RM2,117.0034,-127.2764,0.0,top
RM3,78.6534,-127.1664,0.0,top
U1,114.074255,-115.95,270.0,top
