Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A4, A6",SOT95P280X100-5N,3,LTC6240HV,
"A2, A3, A5",XDCR_LA55-P,3,LA55-P,
"A7, A8",VRB_S-6WR3,2,VRB1215S-6WR3,
"BNC1, BNC2, BNC3",BNC,3,BNC,
"C1, C15, C20, C3, C32, C34, C45",0805,7,105,
"C10, C12, C18, C24, C37, C38, C42, C48, C49, C54",0805,10,104,
"C11, C19, C23, C33, C41, C6",0805,6,47nf,
"C13, C14, C21, C26, C31, C39, C43, C44, C7",0805,9,103,
"C16, C2, C46, C5, C60",CAP/6.4mm -,5,100uf 25V 贴片铝电解,
"C17, C4, C47, C51, C8",1206 (钽电容),5,22uf 16V,
"C22, C40, C9",0805,3,101,
"C35, C36",1206 (钽电容),2,106 25V,
"C52, C55, C56",0805,3,102,
D4,l0805,1,LED0,
J1,SHDR10W50P254_2X5_2020X850X920P,1,HIF3FC-10PA-2.54DSA_71_,
"J2, J3",接地柱M3,2,Header 2,
"R1, R11, R13, R16, R6, R8",0805,6,20k,
"R10, R15, R4",0805,3,470R,
"R12, R14, R17, R3, R7, R9",0805,6,10k,
R18,0805,1,1k,
"R19, R20, R21, RB1, RB2, RB3",0805,6,0R,
"RM1, RM2, RM3",2512,3,24R 1%精度,
U1,URB-YMD-15WR3,1,URB2405YMD-15W,
U2,VRB_S-6WR3,1,VRB1205S-6WR3,
U4,SOIC-8,1,ADR423ARZ,
