Designator,Mid X,Mid Y,Rotation,Layer
A1,-1.4412,77.909,0.0,top
A2,-26.0692,78.163,90.0,top
A3,-26.0692,41.1773,90.0,top
A4,-1.5882,40.932,0.0,top
A5,-26.0692,4.1916,90.0,top
A6,-1.5858,3.6836,0.0,top
A7,-26.7442,121.343,0.0,top
A8,-13.4092,121.343,0.0,top
BNC1,19.0828,79.286,180.0,top
BNC2,19.3168,42.309,180.0,top
BNC3,19.3192,5.0606,180.0,top
C1,-5.6782,81.592,0.0,top
C10,-6.9162,118.803,90.0,top
C11,-15.4412,99.753,180.0,top
C12,-5.6622,76.512,0.0,top
C13,3.9528,76.424,0.0,top
C14,-1.3442,81.592,180.0,top
C15,-1.3442,84.259,180.0,top
C16,4.4978,110.675,270.0,top
C17,17.5788,100.515,0.0,top
C18,16.9438,97.975,0.0,top
C19,-34.4912,54.16,90.0,top
C2,-12.2256,130.741,270.0,top
C20,-5.9322,44.635,0.0,top
C21,-9.8732,47.282,0.0,top
C22,-10.0002,41.948,180.0,top
C23,-17.7272,31.554,270.0,top
C24,-6.0472,39.535,0.0,top
C26,2.6838,39.535,0.0,top
C3,-9.0912,118.803,270.0,top
C31,-1.4912,44.615,180.0,top
C32,-1.4912,47.282,180.0,top
C33,-34.4912,17.346,90.0,top
C34,-5.9162,7.424,0.0,top
C35,-7.3132,101.912,270.0,top
C36,1.8308,94.8,180.0,top
C37,-4.7732,100.753,90.0,top
C38,0.8148,97.34,0.0,top
C39,-9.8708,10.0336,0.0,top
C4,-8.4562,115.126,270.0,top
C40,-9.9978,4.6996,180.0,top
C41,-17.7272,-5.784,270.0,top
C42,-5.9162,2.344,0.0,top
C43,2.6862,2.2866,0.0,top
C44,-1.4888,7.3666,180.0,top
C45,-1.4888,10.0336,180.0,top
C46,-30.1732,130.741,270.0,top
C47,-22.1722,108.6553,270.0,top
C48,-22.1722,119.819,270.0,top
C49,-28.3792,99.753,0.0,top
C5,-3.2492,110.548,270.0,top
C51,-8.4792,109.9269,270.0,top
C52,2.8468,84.259,180.0,top
C54,-17.7272,68.527,90.0,top
C55,2.6998,47.282,180.0,top
C56,2.7022,10.0336,180.0,top
C6,-34.4912,90.99,90.0,top
C60,-21.7912,130.741,270.0,top
C7,-9.7262,84.259,0.0,top
C8,21.5158,125.534,90.0,top
C9,-9.8532,78.925,180.0,top
D4,-25.21522,136.09261,180.0,top
J1,26.2148,128.074,270.0,top
J2,-31.6972,136.075,0.0,top
J3,-11.2502,136.09261,0.0,top
R1,-5.7732,78.925,0.0,top
R10,2.6838,42.297,180.0,top
R11,1.6838,34.709,180.0,top
R12,1.6838,36.995,180.0,top
R13,-5.9178,4.6996,0.0,top
R14,-10.0138,2.2866,180.0,top
R15,2.6862,4.6996,180.0,top
R16,1.6862,-2.5394,180.0,top
R17,1.6862,-0.2534,180.0,top
R18,-18.6002,136.09261,180.0,top
R19,2.8308,81.592,0.0,top
R20,2.6838,44.742,0.0,top
R21,2.6862,7.3666,0.0,top
R3,-9.8692,76.512,180.0,top
R4,2.8308,78.925,180.0,top
R6,1.8308,71.686,180.0,top
R7,1.8308,73.972,180.0,top
R8,-5.9202,41.948,0.0,top
R9,-9.9962,39.555,180.0,top
RB1,-5.6622,84.259,180.0,top
RB2,-5.8092,47.282,180.0,top
RB3,-5.8068,10.0336,180.0,top
RM1,-6.0432,72.702,0.0,top
RM2,-6.1902,35.725,0.0,top
RM3,-6.1878,-1.5234,0.0,top
U1,17.3248,135.67721,270.0,top
U2,11.3878,108.897,90.0,top
U4,-2.2332,103.055,0.0,top
