Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2, A3, A4, A5, A6",LEM_LA 55-P,6,LA55-P,
"BNC1, BNC2, BNC3, BNC4, BNC5, BNC6",CPBNCPC010,6,BNC,
"C1, C15, C7, C8",CAP-TH_L7.5-W4.5-P10.00-D0.6,4,1nF,
"C10, C14, C3, C5",0805,4,105,
"C11, C12, C16, C17, C18, C25, C26, C27, C31, C32, C33, C6",0805,12,47nf,
"C13, C2, C34, C4, C9",CAP_6.4mm,5,100uf 25V 贴片铝电解,
"C19, C20, C21, C22, C23, C24",0805,6,4.7uF,
CN1,CONN-TH_4P-P3.81_DB2EVC-3.81-4P,1,DB2EVC-3.81-4P-GN,
D1,LED0805,1,LED0,
"R1, R19, R2, R20, R21, R3, RB1, RB10, RB11, RB12, RB2, RB3, RB4, RB5, RB6, RB7, RB8, RB9",0805,18,0R,
R6,0805,1,4.7k,
"RM1, RM2, RM3, RM4, RM5, RM6",2512,6,24R 1%精度,
"U1, U2","SIP,22x9.5mm",2,VRB1212S-6WR3,
U3,PWRM-TH_MORNSUN_FT-AX1D,1,FT-AX1D,
