Designator,Mid X,Mid Y,Rotation,Layer
A1,130.255,-44.662,270.0,top
A2,130.048,-99.06,270.0,top
A3,130.048,-154.432,270.0,top
A4,74.81,-43.222,90.0,top
A5,75.485,-98.086,90.0,top
A6,74.977,-152.95,90.0,top
BNC1,138.718,-72.136,180.0,top
BNC2,139.0085,-126.659,180.0,top
BNC3,138.7545,-181.523,180.0,top
BNC4,66.3175,-70.915,0.0,top
BNC5,66.2235,-125.817,0.0,top
BNC6,65.9695,-180.681,0.0,top
C1,98.18,-120.85,0.0,top
C10,108.05,-166.62,0.0,top
C11,87.564,-144.78,180.0,top
C12,86.25,-93.1,180.0,top
C13,116.596,-185.4216,90.0,top
C14,96.78,-167.3,0.0,top
C15,110.17999,-171.74993,0.0,top
C16,115.128,-53.086,0.0,top
C17,119.25,-163.2,0.0,top
C18,119.822,-113.284,0.0,top
C19,86.868,-52.766,90.0,top
C2,94.488,-139.534,180.0,top
C20,119.568,-30.48,180.0,top
C21,117.05,-86.5,180.0,top
C22,119.35,-139.7,180.0,top
C23,87.05,-112.8,0.0,top
C24,87.25,-167.3,0.0,top
C25,119.58,-34.97,180.0,top
C26,119.55,-94.996,180.0,top
C27,119.07,-148.7,0.0,top
C3,101.21,-116.63,0.0,top
C31,86.75,-104.1,0.0,top
C32,89.72,-51.05,270.0,top
C33,87.188,-158.9,0.0,top
C34,109.638,-86.016,0.0,top
C4,107.046,-137.834,0.0,top
C5,100.65,-138.43,0.0,top
C6,85.532,-34.798,180.0,top
C7,110.34997,-120.86793,0.0,top
C8,97.47999,-171.74993,0.0,top
C9,86.316,-183.1316,90.0,top
CN1,103.64602,-33.274,0.0,top
D1,99.24801,-39.47399,180.0,top
R1,87.5875,-58.0,180.0,top
R19,111.6565,-58.166,0.0,top
R2,87.2725,-121.158,180.0,top
R20,119.4425,-129.5,0.0,top
R21,118.8125,-179.7,0.0,top
R3,87.2375,-169.49,180.0,top
R6,108.3545,-39.624,180.0,top
RB1,85.4945,-29.972,180.0,top
RB10,119.6375,-38.76,180.0,top
RB11,116.99,-144.73,180.0,top
RB12,116.9775,-89.68,180.0,top
RB2,87.5265,-139.7,180.0,top
RB3,86.3,-89.6,180.0,top
RB4,86.85,-49.0925,90.0,top
RB5,87.2255,-162.6,0.0,top
RB6,86.6875,-107.7,0.0,top
RB7,119.7375,-53.086,0.0,top
RB8,119.1875,-166.6,0.0,top
RB9,119.9915,-108.712,0.0,top
RM1,117.602,-57.15,180.0,top
RM2,119.63,-120.46,90.0,top
RM3,119.09,-173.16,90.0,top
RM4,93.8375,-58.0,0.0,top
RM5,87.2725,-128.778,90.0,top
RM6,87.33,-174.82,90.0,top
U1,102.96664,-129.18243,0.0,top
U2,103.54762,-179.72193,0.0,top
U3,103.546035,-71.547535,180.0,top
